url	img_url	date_str	year	month	day	hour	minute	filename	error
https://www.facebook.com/photo.php?fbid=705874601405194&set=pb.100059479812265.-2207520000&type=3	https://scontent.fsgn5-10.fna.fbcdn.net/v/t39.30808-6/385905577_705874594738528_7257773106758187198_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=49d041&_nc_ohc=HZ4zRYO3v3gAX_Zalj5&_nc_ht=scontent.fsgn5-10.fna&oh=00_AfDV4ZVGFZ9Wfkcn0bn6qnITyhw3_stTtKNsUKk8K0X1Ww&oe=651FDF89	Monday, 2 October 2023 at 09:30	2023	10	2	9	30	385905577_705874594738528_7257773106758187198_n.jpg	
https://www.facebook.com/photo.php?fbid=705717008087620&set=pb.100059479812265.-2207520000&type=3	https://scontent.fsgn5-10.fna.fbcdn.net/v/t39.30808-6/383339730_705716998087621_4474002202980560598_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=49d041&_nc_ohc=pstFK2MRcokAX_LGGfx&_nc_ht=scontent.fsgn5-10.fna&oh=00_AfD7afHM4utvgnsZUjh5jhdb4pGyrnsRF0Xw_lXPIIvaqA&oe=651FB731	Monday, 2 October 2023 at 00:02	2023	10	2	0	2	383339730_705716998087621_4474002202980560598_n.jpg	
https://www.facebook.com/photo.php?fbid=705400298119291&set=pb.100059479812265.-2207520000&type=3	https://scontent.fsgn5-8.fna.fbcdn.net/v/t39.30808-6/385701128_705400294785958_6170475052891620360_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=49d041&_nc_ohc=UOPlLtOQ5NkAX82-zzw&_nc_ht=scontent.fsgn5-8.fna&oh=00_AfA_JeT4o_enTWrM-nwGq_3LMQYl8zodZ4jYBfJmVmY1eA&oe=65202261	Sunday, 1 October 2023 at 08:12	2023	10	1	8	12	385701128_705400294785958_6170475052891620360_n.jpg	
https://www.facebook.com/photo.php?fbid=704803108179010&set=pb.100059479812265.-2207520000&type=3	https://scontent.fsgn5-12.fna.fbcdn.net/v/t39.30808-6/383172554_704803101512344_6461253758060126500_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=49d041&_nc_ohc=ZJZ-pq4cudQAX8RyB0i&_nc_ht=scontent.fsgn5-12.fna&oh=00_AfDkCQPPfO84lbP124LIdbrJEUYeA1_iXY3Io4a5wsxWzQ&oe=651FE450	Saturday, 30 September 2023 at 00:40	2023	9	30	0	40	383172554_704803101512344_6461253758060126500_n.jpg	
https://www.facebook.com/photo.php?fbid=704691974856790&set=pb.100059479812265.-2207520000&type=3	https://scontent.fsgn5-3.fna.fbcdn.net/v/t39.30808-6/384734628_704691971523457_9015038225577722849_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=49d041&_nc_ohc=hv12XaHDVLsAX_q46KN&_nc_ht=scontent.fsgn5-3.fna&oh=00_AfAvpXqk93BNrcQfHaj3wDPhFITkNqo6WXIIkDCwmN4h-Q&oe=651F09DD	Friday, 29 September 2023 at 20:08	2023	9	29	20	8	384734628_704691971523457_9015038225577722849_n.jpg	
https://www.facebook.com/photo.php?fbid=704155151577139&set=pb.100059479812265.-2207520000&type=3	https://scontent.fsgn5-8.fna.fbcdn.net/v/t39.30808-6/382998777_704155148243806_6356177971712229452_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=49d041&_nc_ohc=txProZmgn58AX_9Vtn5&_nc_ht=scontent.fsgn5-8.fna&oh=00_AfARWCO0RD87svDAClMs8UUrJLPB3tJrVKnj1QfK9CMWrg&oe=651F54BC	Thursday, 28 September 2023 at 19:14	2023	9	28	19	14	382998777_704155148243806_6356177971712229452_n.jpg	
https://www.facebook.com/photo.php?fbid=703950141597640&set=pb.100059479812265.-2207520000&type=3	https://scontent.fsgn5-2.fna.fbcdn.net/v/t39.30808-6/384690710_703950138264307_5761791485126579933_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=49d041&_nc_ohc=RkdYtU_GpVQAX8qljiD&_nc_ht=scontent.fsgn5-2.fna&oh=00_AfBlc6FFRTPIIqydFrR9rcoLe6ciepAm_XJdmzn6tRtKJA&oe=651ED9A2	Thursday, 28 September 2023 at 09:15	2023	9	28	9	15	384690710_703950138264307_5761791485126579933_n.jpg	
https://www.facebook.com/photo.php?fbid=703939268265394&set=pb.100059479812265.-2207520000&type=3	https://scontent.fsgn5-10.fna.fbcdn.net/v/t39.30808-6/384117595_703939261598728_8944146623050822796_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=49d041&_nc_ohc=zRdWGKkwliAAX_OXImO&_nc_ht=scontent.fsgn5-10.fna&oh=00_AfALykoE1kRm1HsHESnXflkQm83dCc-S1Lzn0mwX1pF4lw&oe=65203AFC	Thursday, 28 September 2023 at 08:44	2023	9	28	8	44	384117595_703939261598728_8944146623050822796_n.jpg	
https://www.facebook.com/photo.php?fbid=703873901605264&set=pb.100059479812265.-2207520000&type=3	https://scontent.fsgn5-3.fna.fbcdn.net/v/t39.30808-6/384561606_703873898271931_393294247780278646_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=49d041&_nc_ohc=R1eqJYMYRdYAX9CvqVf&_nc_ht=scontent.fsgn5-3.fna&oh=00_AfAKSdUp7LeDj-dm58-AHr1Q6D8JFpT_jJGLeYFpRJe3WQ&oe=651EA386	Thursday, 28 September 2023 at 05:18	2023	9	28	5	18	384561606_703873898271931_393294247780278646_n.jpg	
https://www.facebook.com/photo.php?fbid=703533731639281&set=pb.100059479812265.-2207520000&type=3	https://scontent.fsgn5-12.fna.fbcdn.net/v/t39.30808-6/383315712_703533724972615_7546802969647473788_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=49d041&_nc_ohc=h06mc1GgzgwAX9CmxhG&_nc_ht=scontent.fsgn5-12.fna&oh=00_AfANjD0z2iBjkvrVXTpxm7xc5zH5ZDyBb3V0zsVyofIGeQ&oe=651F1A2C	Wednesday, 27 September 2023 at 14:00	2023	9	27	14	0	383315712_703533724972615_7546802969647473788_n.jpg	
